Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
"Auseinandersetzungen im Bundesasylzentrum vom 14. April 2022, Angaben zur Belegung, den internen Regeln, der Ein- und Austrittskontrollen und der Präventionsmassnahmen sowie Auflistung der Delikte seit Inbetriebnahme des Zentrums",Schriftliche Anfrage,ece83d97682f46af84de4a93d876a9a0,2022-05-18T00:00:00.000,Martin Götzl,SVP,Stephan Iten,SVP,Abgeschlossen,,
Realisierung einer unterirdischen Schiessanlage auf einem städtischen Grundstück,Postulat,3763c803b16a49f5a0738d4cf367603e,2022-06-01T00:00:00.000,Walter Anken,SVP,Samuel Balsiger,SVP,Abgeschlossen,Ablehnung,Ablehnung
"Ablehnung eines SVP-Inserats im Tagblatt der Stadt Zürich, Rolle des Stadtrats beziehungsweise der Verwaltung und Begründung für die verhinderte Publikation sowie Offenlegung der entsprechenden Interventionen und möglichen Druckversuchen",Interpellation,12e92603da4c4756871e2340ed29d04e,2022-06-01T00:00:00.000,Samuel Balsiger,SVP,Johann Widmer,SVP,Abgeschlossen,,
Aufhebung des Verbots für die Bierwerbung an den Fassaden von Gaststätten,Postulat,9e9e38d373794cd686d76b4a88ae214f,2022-06-08T00:00:00.000,Samuel Balsiger,SVP,Susanne Brunner,SVP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Rückerstattung des Steuerbetrags für den Eigenmietwert und der Hälfte des Steuerbetrags für den Mietertrag bei ökologischen Gebäudesanierungen,Postulat,4b5f4a53389948a78146e0a8a381419b,2022-06-08T00:00:00.000,Walter Anken,SVP,Samuel Balsiger,SVP,Abgeschlossen,Ablehnung,Ablehnung
Zusätzlicher Fussballplatz im Quartier Wollishofen,Postulat,d1105f8e6e6b41dbbbe30ffc16c77b9e,2022-06-15T00:00:00.000,Samuel Balsiger,SVP,Sebastian Zopfi,SVP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Suspendierung der Städtepartnerschaft mit Kunming bis zur Wahl einer demokratischen, friedliebenden Regierung in China",Postulat,7072f101a4a349648f6aa95cc99bdb69,2022-06-15T00:00:00.000,Bernhard im Oberdorf,SVP,Samuel Balsiger,SVP,InBearbeitung,Ablehnung,Ablehnung
"Unterdrückung von Uiguren in China und Städtepartnerschaft mit Kunming, Thematisierung der Menschenrechtsverletzungen im Rahmen der Partnerschaft und erreichte Fortschritte durch die Städtepartnerschaft",Interpellation,6f0d0c9473494f9b917468b6600aa9e2,2022-06-15T00:00:00.000,Samuel Balsiger,SVP,Bernhard im Oberdorf,SVP,Abgeschlossen,,
"Kapazitätsengpässe bei Rasensportflächen, geplante und realisierte Flächen seit 2018 und ausgebaute Sportinfrastrukturen durch Kooperationen mit Privaten 
sowie Entwicklung der Sportflächen bei den Schularealen",Schriftliche Anfrage,e2ff918e799f48a7bbcd6172b6bc46e6,2022-06-15T00:00:00.000,Martin Götzl,SVP,Reto Brüesch,SVP,Abgeschlossen,,
Schutz von älteren Menschen in den städtischen Pflege- und Altersheimen sowie in Alterswohnungen vor der Sommerhitze,Postulat,6b08e6c6c68746998cd220ef1589bbd4,2022-06-22T00:00:00.000,Samuel Balsiger,SVP,Walter Anken,SVP,Abgeschlossen,Ablehnung,Ablehnung
"Städtische Finanzpolitik, nötige Rahmenbedingungen für eine Entlastung der unteren und mittleren Einkommen sowie Auswirkungen dieser möglichen Steuersenkungen auf den Finanzhaushalt der Stadt",Interpellation,f66bef2c2a354b6094d460fe7d641080,2022-06-22T00:00:00.000,Samuel Balsiger,SVP,Johann Widmer,SVP,Abgeschlossen,,
