Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
"Schneeräumung in der Stadt, Anweisungen und Prioritätensetzung für die Schneeräumung, Gründe für die verzögerte Räumung bei Bushaltestellen und Fussgängerstreifen und Vorgehen bei der Räumung der Flächen für den Fuss- und Veloverkehr sowie Möglichkeiten für eine Änderung der Prioritätensetzung",Schriftliche Anfrage,004c86f8cfc547e0b5f4cc5bd776a698,2021-01-20T00:00:00.000,Natascha Wey,SP,Simone Brander,SP,Abgeschlossen,,
Ausrichtung der städtischen Landwirtschaftsbetriebe auf das Netto-Null-Klimaziel bis 2030,Postulat,94ba05d9107846c3a94c2812bbf2b61c,2021-01-27T00:00:00.000,Simone Brander,SP,Matthias Probst,Grüne,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Bericht über mögliche Massnahmen für einen erleichterten Zugang zur Sozialhilfe und zu Personengruppen, die trotz Anspruch keine Sozialhilfe beziehen",Postulat,9665403d9e84410ba0350ad1d15df9c4,2021-02-03T00:00:00.000,Vera Ziswiler,SP,Alan David Sangines,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Bericht über Massnahmen zur Verbesserung der Situation von armutsbetroffenen und armutsgefährdeten Erwerbstätigen,Postulat,e743738050c54202b2bb741bb0de8a9d,2021-02-03T00:00:00.000,Alan David Sangines,SP,Vera Ziswiler,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Zentralbibliothek Zürich und Verein Pestalozzibibliothek, Gewährung eines nicht-diskriminierenden Zugangs zur Bücherausleihe für Sans-Papiers",Postulat,a780c3c3584c4a72bba27f94ee16cc2a,2021-02-03T00:00:00.000,Willi Wottreng,AL,Marco Geissbühler,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Werkplatz Basislager, Pläne für die Nutzung des Areals an der Aargauerstrasse 60–92 und Absichten der Stadt für die Verlängerung des Pachtvertrags, den Erhalt des Basislagers und die Übernahme der Infrastruktur",Schriftliche Anfrage,7fe8b2d1af964df7910af7d202f9d57d,2021-02-03T00:00:00.000,Maya Kägi Götz,SP,,,Abgeschlossen,,
"Runder Tisch mit Swissmill und Coop zur Zukunft der Häuser am Sihlquai 280–284 hinsichtlich einer Koexistenz von Wohnen, Gewerbe und Industrieproduktion",Postulat,0aed3bffe5054588a262bc8da78bde4c,2021-02-03T00:00:00.000,David Garcia Nuñez,AL,Maya Kägi Götz,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Studie betreffend Folgekosten bei Nichtumsetzung der in der Fachplanung Hitzeminderung vorgesehenen Handlungsansätze und Massnahmen,Postulat,d87a48bdf16c402791e2f9e977b7eea0,2021-02-10T00:00:00.000,Martina Novak,GLP,Marion Schmid,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Änderung des Volksschulgesetzes betreffend Mitarbeiterbeurteilung (MAB), Angaben zum Vollzug auf städtischer Ebene, Gewährleistung der vorgeschriebenen Aufsichtspflicht der Schulbehörde, Auswirkungen auf die Ressourcen der Behörden sowie Vorgehen hinsichtlich einer geordneten Neuorganisation der Schulbehörden",Schriftliche Anfrage,87d851307e0a4b1abcf655f862949cf7,2021-02-10T00:00:00.000,Yasmine Bourgeois,FDP,Sarah Breitenstein,SP,Abgeschlossen,,
"Pop-Up-Velowege aufgrund der COVID-19 Pandemie, geeignete Strecken und Gründe für den bisherigen Umsetzungsverzicht sowie mögliche temporäre Massnahmen für die Realisierung und nahtlose Überführung in die definitive Veloinfrastruktur",Schriftliche Anfrage,0361356de73547eead231d30da285f49,2021-02-10T00:00:00.000,Simone Brander,SP,,,Abgeschlossen,,
"Stiftung Greater Zurich Area (GZA), stärkere Verpflichtung zur Nachhaltigkeit, Berechnung der Beiträge aufgrund des Ansiedlungserfolgs und Verzicht auf ein paralleles Standortmarketing",Postulat,d66afe36f1bf4b3197a24bd9e998d2e4,2021-03-03T00:00:00.000,Maya Kägi Götz,SP,Florian Utz,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Lärmsanierung an der Quelle durch Einführung von Tempo 30, Schätzung der Kosten für die bisher nicht umgesetzte Lärmsanierung, Zeitverluste für den öffentlichen Verkehr an der Nord- und Ottenbergstrasse und mögliche Folgen für die Quartierbuslinie 38, Beurteilung der Strategie des ZVV sowie mögliche Kompensationen durch eine konsequentere ÖV-Bevorzugung",Schriftliche Anfrage,f21e1273c69442ca879827da2ee91f71,2021-03-03T00:00:00.000,Markus Knauss,Grüne,Simone Brander,SP,Abgeschlossen,,
Aufrechterhaltung der Buslinie 38 unter Finanzierung der Mehrkosten der Strassenlärmsanierung durch den ZVV,Postulat,56349c228e9b42138edc5fbc67c5b4d2,2021-03-03T00:00:00.000,Monika Bätschmann,Grüne,Simone Brander,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Realisierung eines befristeten Real- respektive Stadtlabors (Laborquartiers),Motion,a8a1254edd1b45aa99002b34894af6bd,2021-03-10T00:00:00.000,Christine Seidler,SP,Balz Bürgisser,Grüne,Abgeschlossen,Umwandlung in Postulat,Überweisung
Gemeinnütziger Wohnungsbau auf dem Areal des Schiessplatzes Probstei innerhalb der bestehenden Wohnzone W3,Postulat,09861427ee9749f299027af54d66ee9f,2021-03-10T00:00:00.000,Roger-Paul Speck,SP,Matthias Probst,Grüne,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Naturnahe Nutzung des Areals der Schiessanlage Probstei,Postulat,2323cebf03e5401b81174738c5b23a0b,2021-03-10T00:00:00.000,Christian Monn,GLP,Judith Boppart,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Bauprojekt an der Witikonerstrasse in Zürich-Hirslanden, Stellungnahme zur Ausnützungserhöhung im Rahmen der BZO-Revision 2016, Gründe für die fehlende Sicherung der Siedlungsqualität durch eine Quartiererhaltungszone und Berücksichtigung der Vorgaben des ISOS sowie generelle Beurteilung der Strassenzüge mit erhöhter Ausnützung und der Bewilligungspraxis von Bauvorhaben betreffend Lärmschutz",Schriftliche Anfrage,cdc3414772784fbf8a5eb4aa54098cb9,2021-03-10T00:00:00.000,Mischa Schiwow,AL,Sofia Karakostas,SP,Abgeschlossen,,
"Polizeieinsatz gegen die Aktionen im Rahmen des «8. März Unite», Beurteilung der kantonalen Covid-Verordnung betreffend die politischen Kundgebungen, Angaben zu den Kundgebungen und den polizeilichen Massnahmen vor und nach den kantonalen Verschärfungen sowie Massnahmen zur Gewährleistung der politischen Grundrechte auch während der Pandemiebekämpfung",Schriftliche Anfrage,00455a6f47734662be554bfc643b4071,2021-03-10T00:00:00.000,Christina Schiller,AL,Natascha Wey,SP,Abgeschlossen,,
