Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
Stärkere finanzielle Beteiligung der Zürcher Sportclubs GCZ und FCZ an der Fanarbeit sowie Umsetzung einheitlicher Präventionsmassnahmen,Postulat,9b3ce119156947448d3699ba7cdefd92,2016-09-21T00:00:00.000,Markus Baumann,GLP,Maleica Landolt,GLP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Verkehrspriorisierungssystem SESAM für VBZ-Fahrzeuge und Einsatzfahrzeuge von Schutz & Rettung, Ersatz durch ein GPS-basiertes System",Postulat,ba45c9a7df8b4537b0f5dd9235aa11eb,2016-09-21T00:00:00.000,Marcel Bührig,Grüne,Sven Sobernheim,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Bericht über die Vereinfachung der bargeldlosen Bezahlung von Parkgebühren,Postulat,d58ebe6aeec54b63bcb6f49aaafaa405,2016-10-05T00:00:00.000,Marco Denoth,SP,Martin Luchsinger,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Kostenloser Eintritt an einem Tag pro Monat in die von der Stadt finanziell unterstützten Museen,Postulat,739f700252384e14a0d0aaf51502100a,2016-11-23T00:00:00.000,Linda Bär,SP,Ann-Catherine Nabholz,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Haltestellen der Buslinien 83 und 89 im Einzugsgebiet des Freilager-Areals, geplante Anpassungen zur Umsetzung des Behindertengesetzes sowie Möglichkeiten zur Beruhigung der Rautistrasse und zur Vermeidung von Ausweichverkehr auf die Flur- und Freilagerstrasse",Schriftliche Anfrage,3946af36f2a94d439e10e9728ddc6294,2017-01-11T00:00:00.000,Pascal Lamprecht,SP,Markus Baumann,GLP,Abgeschlossen,,
Realisierung eines Velowegs auf dem Abschnitt Rautistrasse-Hubertus-Albisriederstrasse bis zur Einmündung Albisriederplatz,Postulat,55310c59ec6f456e94b32de3eb7e8fab,2017-01-11T00:00:00.000,Markus Baumann,GLP,Marcel Müller,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Pilotprojekt mit Tempo 30 auf der Mutschellenstrasse, der Rieterstrasse und der Waffenplatzstrasse",Postulat,6b20cd3b48d343f9bb721bdc28fd49cb,2017-02-08T00:00:00.000,Pawel Silberring,SP,Guy Krayenbühl,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Sportanlage Heerenschürli, Errichtung eines zugänglichen Trinkbrunnens",Postulat,49f3d8a43e5342d09355094a8c27a79f,2017-03-15T00:00:00.000,Roger-Paul Speck,SP,Markus Merki,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Umzug der Kantonspolizei ins neue Polizei- und Justizzentrum (PJZ), Bericht über die räumlichen Auswirkungen und Umzugskosten bezüglich der gemeinsam mit der Stadtpolizei genutzten Polizeiinfrastruktur und den Strategieentwicklungen",Postulat,d0d69b1e266844a3b3f1fd053efe48ee,2017-03-22T00:00:00.000,Ann-Catherine Nabholz,GLP,Guy Krayenbühl,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Zusammenschluss der Abteilungen der Stadt- und Kantonspolizei im Bereich der digitalen Forensik,Postulat,3f652a2c39c84eab8cd4aa8a6a93d372,2017-03-22T00:00:00.000,Guy Krayenbühl,GLP,Ann-Catherine Nabholz,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Ausfall der städtischen IT-Infrastruktur am 20. März 2017, Gründe für den Ausfall im Rechenzentrum Hagenholz sowie generelle Massnahmen zur Absicherung wichtiger Infrastrukturen",Schriftliche Anfrage,22d5703992fb4de9bdfab35873bc2575,2017-03-22T00:00:00.000,Sven Sobernheim,GLP,Guido Hüni,GLP,Abgeschlossen,,
Übersicht über die städtischen Restaurantbetriebe und deren wirtschaftliche Situation sowie Einschätzung der allgemeinen Marktsituation für die Restaurationsbranche in der Stadt,Schriftliche Anfrage,a70ca2e7c8094102b667ff0ed7490d1d,2017-03-29T00:00:00.000,Markus Baumann,GLP,Isabel Garcia,FDP,Abgeschlossen,,
"Einsetzung eines Gremiums mit externen Sachverständigen für Empfehlungen im Rahmen des Erwerbs von Energieerzeugungsanlagen, die erneuerbare Energie nutzen",Postulat,267a0ffbfd744d5ab788cf2fba2fadbe,2017-03-29T00:00:00.000,Guido Hüni,GLP,Sven Sobernheim,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Familiengärten in den Gebieten Fronwald, Glaubten und Tüfwisen, biodiversitätsfördernde Gestaltung der Arealpläne und Verzicht auf individuelle Gartenhäuser",Postulat,c18505cbbcbd4cc2b44fbad1d730fcb2,2017-06-14T00:00:00.000,Ann-Catherine Nabholz,GLP,Gabriele Kisker,Grüne,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Einschätzung der Wohnsituation von getrennten oder geschiedenen Eltern im Zusammenhang mit der Schulwegsituation der Kinder sowie mögliche Massnahmen zur Erleichterung dieser Lebenssituationen,Schriftliche Anfrage,80a1fdfdeced402eb2c1785578aca931,2017-06-28T00:00:00.000,Ronny Siev,GLP,Isabel Garcia,FDP,Abgeschlossen,,
Pilotprojekt zur Einführung der «Idaho-Regelung» auf Velorouten,Postulat,a8ef8c681c2e43bda4b0a44fb33063ab,2017-07-05T00:00:00.000,Sven Sobernheim,GLP,Shaibal Roy,GLP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Bau von Veloschnellrouten,Motion,32605d89be784e6c86715a607821b32a,2017-07-12T00:00:00.000,Marco Denoth,SP,Sven Sobernheim,GLP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Bau von Veloschnellrouten,Motion,32605d89be784e6c86715a607821b32a,2017-07-12T00:00:00.000,Marco Denoth,SP,Sven Sobernheim,GLP,InBearbeitung,"Überweisung, SK SID/V (Spezialkommission Sicherheitsdepartement/Verkehr)",Überweisung
"Verein «Arche Zürich», Zusammenzug der wiederkehrenden leistungsbezogenen Beiträge und der weiteren Subventionen in einer Sammelweisung",Postulat,5c78d3e201434ef18cc6670789ece2fa,2017-08-23T00:00:00.000,Markus Baumann,GLP,Alexander Brunner,FDP,Abgeschlossen,Ablehnung,Ablehnung
