Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
Einsparung der entstehenden Mehrkosten als Folge der zweiten Etappe der Sparbeitragserhöhung an die Pensionskasse,Postulat,f84a2dec67d740bdb3b989f4d02161c7,2022-02-09T00:00:00.000,Përparim Avdili,FDP,Hans Dellenbach,FDP,Abgeschlossen,Ablehnung,Ablehnung
Realisierung eines flächendeckenden 5G-Netzes bis 2025,Postulat,6a4726f3dd3c43b1952cc2e619f135e1,2022-03-02T00:00:00.000,Marcel Müller,FDP,Elisabeth Schoch,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Vermeidung von Interessenskonflikten bei ärztlichen Nebenbeschäftigungen im Spitalbetrieb,Postulat,b76eb7e6de454444ae7fd1dc711c4f6f,2022-03-09T00:00:00.000,Elisabeth Schoch,FDP,Natascha Wey,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Gefährdungen auf der Mischverkehrsfläche Binzallee, Unfälle und problematische Situationen in diesem Bereich, entschleunigende und verkehrsberuhigende Massnahmen sowie mögliche Alternativen zum Verlauf der Velovorzugsroute",Schriftliche Anfrage,0a10d80dcabd42269d32c13fe81652c2,2022-03-16T00:00:00.000,Flurin Capaul,FDP,Mélissa Dufournet,FDP,Abgeschlossen,,
"Realisierung des Fussballstadions Hardturm, Baubeginn und Eröffnungszeitpunkt nach heutigem Kenntnisstand, Bedingungen für den Baubeginn und Massnahmen zur Beschleunigung des Baus",Schriftliche Anfrage,f7a1ce11c3904d579aace2ddeb084f75,2022-03-23T00:00:00.000,Flurin Capaul,FDP,Përparim Avdili,FDP,Abgeschlossen,,
Einrichtung einer zeitlich begrenzten Anlaufstelle für die Anerkennung einer ausländischen Ausbildung für Personen mit Schutzstatus S,Postulat,cb962e6b01f24e9f90e9b5836369afa3,2022-03-23T00:00:00.000,Markus Baumann,GLP,Isabel Garcia,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Zeitlich begrenzte berufliche und schulische Ausbildungsmassnahmen für junge Menschen bis 25 Jahre mit Schutzstatus S,Postulat,43757a4ef6b443c889b4e8084e1d9b96,2022-03-23T00:00:00.000,Markus Baumann,GLP,Isabel Garcia,FDP,Abgeschlossen,Ablehnung,Ablehnung
"Ordnungsbussen im Strassenverkehr, Entwicklung in den letzten fünf Jahren, Übersicht über die Geschwindigkeitsübertretungen, die nicht im Ordnungsbussenverfahren erledigt werden können und über die Ordnungsbussen, die gegen Fahrerinnen und Fahrer von Velos, E-Bikes und E-Trottinetts ausgesprochen wurden",Schriftliche Anfrage,916563bba20c40e5a66285e0bcbea52c,2022-04-13T00:00:00.000,Yasmine Bourgeois,FDP,Andreas Egli,FDP,Abgeschlossen,,
"Sofortmassnahmen an der Hardturmstrasse zur Reduzierung des Durchgangsverkehrs, bereits umgesetzte Massnahmen und Beurteilung des Nutzens, geplante Massnahmen zur Verflüssigung der Route Pfingstweidstrasse, Verkehrsaufkommen und Verlagerungspotenzial sowie Anzahl wohnhafter Personen an der Hardturm- und Breitensteinstrasse",Schriftliche Anfrage,1f69a07f017846e7ad13dc82a558855e,2022-05-11T00:00:00.000,Martina Zürcher,FDP,Elisabeth Schoch,FDP,Abgeschlossen,,
"Sanierung des Theaters am Hechtplatz, Erhalt der denkmalgeschützten Ladenzeile mit den beiden Ladenlokalen",Postulat,a279bb78ce624cb788745fe93dff6569,2022-05-18T00:00:00.000,Susanne Brunner,SVP,Sebastian Vogel,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Unbewilligte Demonstrationen in Zürich, tabellarische Aufstellung der Demonstrationen, der damit verbundenen Störungen des öffentlichen Verkehrs und der geschätzten Mehrkosten sowie Strategie für die Verringerung künftiger Ausfälle und Verspätungen",Schriftliche Anfrage,a947793e561c4b608d7620b2bde93074,2022-06-01T00:00:00.000,Alexander Brunner,FDP,Përparim Avdili,FDP,Abgeschlossen,,
"Geplante Velovorzugsroute im Bereich Riedhofstrasse via Meierhofplatz Ackersteinstrasse/Im Sydefädeli, Auswertungen zu den Fahrradunfällen in den vergangenen fünf Jahren sowie Angaben zu den damaligen Verfahren bei der Erstellung der Trottoirs und dem benötigten Landerwerb",Schriftliche Anfrage,b331e54287154eaaaa102a9fa28bdfc9,2022-06-08T00:00:00.000,Andreas Egli,FDP,Yasmine Bourgeois,FDP,Abgeschlossen,,
Aufhebung des Verbots für das Anbringen von «Biersigneten» zur Kennzeichnung von Gaststätten,Postulat,36da6ea45ddc4a8591ce02a752d0853a,2022-06-08T00:00:00.000,Dominique Zygmont,FDP,Flurin Capaul,FDP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
